5,5
34,4
8841,3
111,2
891,2
113,2
20,2
24191,2
289,2
21010,2
324,2
298537,2
38,2
143,2
14750,1
254438,1
335316,1
22989,1
177175,1
197058,1
102863,1
415,1
16,1
349314,1
714,1
587,1
460,1
494043,1
261252,1
1943,1
10083,1
177,1
369,1
9386,1
3581,1
31,1
88,1
1844,1
25234,1
13661,1
19755,1
16602,1
401072,1
573,1
9577,1
47067,1
482,1
242841,1
779,1
7120,1
10382,1
69308,1
61808,1
3357,1
4253,1
50604,1
129831,1
44,1
667,1
1755,1
2389,1
8920,1
15049,1
207295,1
2427,1
2388,1
20975,1
178,1
64704,1
24,1
659,1
6836,1
11453,1
4595,1
4696,1
803,1
53,1
7927,1
10482,1
411062,1
